# level_001
# height 30  
# width 32
14,01,01,01,01,01,01,01,01,01,01,01,14,01,01,01,01,01,01,01,14,01,01,01,01,01,01,01,01,01,01,14
02,19,23,19,19,19,19,19,19,19,19,19,02,19,19,19,19,19,19,19,04,19,19,19,19,19,19,19,19,19,19,02
02,19,19,19,19,19,19,19,19,19,19,19,02,35,19,19,19,19,19,19,21,19,19,19,19,19,19,03,19,19,19,02
02,19,19,19,19,19,19,19,19,19,19,19,04,19,19,19,19,19,19,19,21,19,19,03,19,19,19,19,19,19,06,13
02,19,19,19,19,19,99,19,19,19,19,19,19,19,19,19,19,19,19,19,05,19,19,19,19,03,19,19,03,19,19,02
02,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,02,19,19,19,19,19,19,19,19,19,19,02
02,19,19,19,19,19,19,19,19,19,19,19,05,19,19,19,19,19,19,19,02,19,03,19,19,19,19,19,03,19,19,02
02,19,20,19,19,19,19,19,19,19,19,19,02,35,19,19,19,19,19,19,02,19,19,19,19,03,19,19,19,19,19,02
02,19,19,19,19,19,19,19,19,19,19,19,02,19,19,19,19,19,19,19,02,26,19,19,19,19,19,19,19,19,19,02
15,01,01,01,01,01,01,01,01,01,01,01,16,01,01,01,01,01,14,01,12,07,19,19,10,01,07,22,22,06,01,13
02,19,19,19,19,19,19,19,19,19,19,25,02,36,19,19,19,19,02,19,19,19,19,19,02,19,19,19,19,19,19,02
02,19,19,19,19,19,19,19,19,19,19,19,02,36,19,19,19,19,04,19,19,19,19,19,02,19,19,19,19,19,19,02
02,19,19,19,19,19,32,19,19,19,10,01,08,36,19,19,19,19,21,19,19,19,19,19,02,19,19,19,19,19,19,02
02,19,19,19,19,19,19,19,19,19,02,23,23,19,19,19,19,19,21,19,19,19,19,19,02,19,19,19,19,19,06,13
02,19,19,19,19,19,19,19,19,19,02,23,23,19,19,19,19,19,21,19,19,19,19,19,02,19,19,19,19,19,26,02
02,19,19,19,19,19,19,19,19,19,02,23,23,19,19,19,19,19,05,19,19,19,19,19,02,19,19,19,19,19,19,02
02,19,19,19,19,19,19,19,19,19,02,23,23,19,19,19,19,19,02,20,19,19,19,19,02,19,19,19,19,19,19,02
16,01,07,19,19,06,01,01,01,01,13,23,23,19,19,19,19,19,15,01,01,01,01,01,16,01,07,19,19,06,01,13
02,19,19,19,19,19,19,19,19,19,11,01,09,20,19,19,19,19,02,19,19,19,19,19,04,19,19,19,19,19,19,02
02,19,19,19,19,19,19,19,19,19,19,19,15,01,01,01,01,01,08,19,19,19,19,19,19,19,19,19,19,19,19,02
02,19,19,19,19,05,19,19,19,19,19,19,02,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,02
02,19,19,19,26,02,19,19,19,19,19,19,02,19,19,19,19,19,19,19,19,19,19,19,05,19,19,19,19,19,19,02
16,01,01,01,01,12,07,19,19,06,01,01,13,19,19,19,19,19,19,06,01,14,01,01,16,01,07,19,19,06,01,13
02,19,19,19,19,26,19,19,19,19,19,19,02,19,03,19,19,19,05,23,23,04,19,28,02,19,19,19,19,19,19,02
02,19,19,19,19,19,19,19,19,19,19,19,02,19,19,19,19,19,02,19,19,19,19,19,04,19,19,19,19,19,19,02
02,19,19,19,19,19,19,19,19,19,19,19,04,19,06,01,09,19,02,19,19,19,19,19,19,19,19,19,19,19,19,02
02,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,02,19,02,19,19,05,19,19,19,19,19,19,19,19,19,02
02,19,19,19,19,19,19,19,19,19,19,05,19,19,26,19,02,19,02,23,23,02,19,24,05,19,19,19,19,19,19,02
17,18,18,18,18,18,18,18,18,18,18,17,18,18,18,18,17,18,17,18,18,17,18,18,17,18,18,18,18,18,18,17
00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00
